game_id,genre_id
1,1
1,10
2,10
2,19
3,10
3,14
3,16
4,1
4,12
5,1
5,2
6,1
6,2
7,2
7,3
7,6
7,10
7,12
8,1
8,2
9,2
9,10
9,17
10,1
10,2
10,10
10,11
10,14
11,1
11,10
11,11
11,14
11,19
12,1
12,17
12,19
13,1
13,2
13,9
13,10
14,4
14,6
14,10
14,17
15,1
15,2
15,10
15,14
15,19
16,19
17,14
17,19
18,1
18,10
19,1
19,2
19,16
20,1
20,16
21,1
21,2
22,1
22,16
23,1
23,2
24,1
24,16
25,1
25,14
25,16
26,10
26,17
27,1
27,2
27,10
28,1
28,2
28,10
29,1
29,6
29,17
30,1
30,10
30,17
30,19
31,10
31,13
32,1
32,2
32,6
33,1
33,16
34,1
34,17
34,19
35,1
35,17
35,19
36,1
36,16
36,17
36,19
37,10
37,14
37,17
37,19
38,1
39,1
39,2
40,1
41,1
41,14
42,1
42,14
43,1
44,1
45,1
46,1
46,2
46,14
47,1
47,2
48,1
49,1
50,1
51,1
51,2
52,10
52,15
52,17
52,18
53,2
53,10
54,10
55,1
55,10
55,12
55,19
56,1
56,3
56,10
57,1
57,16
58,1
58,2
58,13
59,14
59,19
60,2
60,14
60,19
61,14
61,19
62,10
62,17
62,19
63,1
63,2
63,10
63,14
64,1
65,1
65,2
65,12
66,1
67,1
67,2
68,1
69,1
70,1
70,2
70,6
70,10
70,12
71,1
71,16
72,1
72,16
73,16
74,1
74,16
75,1
75,2
75,11
75,16
76,1
76,16
77,1
78,1
78,2
79,1
79,10
80,2
80,10
80,14
80,19
81,2
81,10
82,10
82,17
82,19
83,1
83,14
84,1
84,2
85,1
85,2
86,1
86,16
87,1
87,16
88,1
88,16
89,1
89,14
90,1
90,16
91,16
92,1
92,2
92,11
92,14
92,17
92,19
93,1
93,10
93,16
94,1
94,11
95,1
95,2
95,10
95,12
96,1
96,2
97,17
97,19
98,1
98,14
98,16
99,1
99,14
99,16
100,1
100,2
100,14
100,16
101,1
101,14
101,16
102,1
102,14
102,16
103,1
103,3
103,10
103,12
103,13
104,1
104,6
104,9
104,10
105,1
105,16
106,1
106,10
106,12
107,2
107,6
107,8
107,10
107,13
108,1
108,2
108,10
109,1
109,19
110,1
110,16
111,1
111,2
112,1
112,2
113,3
113,15
114,1
114,2
114,14
115,16
116,16
117,1
117,16
118,1
118,16
119,1
119,16
120,1
120,16
121,1
121,16
122,1
122,16
123,1
123,16
124,1
124,16
125,1
125,16
126,1
126,16
127,16
128,1
128,16
129,1
129,16
130,1
130,16
131,16
132,1
132,16
133,1
133,3
134,1
134,10
135,1
135,2
135,13
135,14
136,1
136,2
136,10
136,12
137,10
137,12
138,2
138,10
138,14
139,10
139,14
140,1
140,2
140,10
140,14
141,1
141,10
142,17
142,19
143,2
143,6
143,10
143,14
143,17
143,19
144,1
144,14
145,19
146,19
147,19
148,1
148,19
149,19
150,1
150,2
150,11
151,1
152,1
152,2
152,16
153,1
153,10
153,19
154,1
154,2
154,6
154,8
154,14
155,1
155,16
156,1
156,6
156,11
157,1
158,16
159,16
160,16
161,1
161,12
162,1
162,3
162,15
163,1
163,11
163,15
163,17
164,17
164,19
165,14
165,17
165,19
166,1
166,2
166,10
167,1
167,10
167,14
168,1
168,16
169,1
169,16
170,1
171,1
171,2
171,16
171,19
172,1
172,16
173,1
173,11
174,1
174,10
174,12
175,1
175,14
175,16
176,10
176,19
177,2
177,6
177,10
178,1
178,16
179,1
179,16
180,1
180,16
181,1
181,9
182,1
182,14
183,1
183,14
184,1
184,14
185,1
185,14
186,1
186,14
187,1
187,14
188,1
188,14
189,10
189,14
189,19
190,1
191,1
191,14
192,1
192,14
193,1
193,2
193,14
194,1
194,14
195,1
195,2
195,10
195,14
196,1
197,1
198,2
198,8
199,1
199,10
199,11
200,1
201,1
201,10
201,12
201,14
202,1
202,14
202,16
203,1
204,1
204,2
204,16
205,1
206,1
206,16
207,1
207,16
208,1
208,16
209,1
210,1
210,10
210,12
211,2
211,6
211,10
212,2
212,6
212,10
213,1
213,2
214,1
214,10
214,14
215,1
215,14
216,1
217,1
218,1
218,10
219,1
219,11
219,14
219,16
220,2
220,10
220,14
221,2
221,10
221,13
221,14
222,2
222,14
223,1
223,16
224,1
224,2
225,1
225,14
226,1
226,14
226,16
227,1
227,14
228,1
228,14
229,1
229,14
230,1
230,2
230,14
231,1
232,1
233,3
233,15
233,18
234,3
234,15
235,15
235,17
235,18
236,15
236,17
236,18
237,3
237,15
238,1
238,14
239,1
239,10
240,1
240,16
241,2
241,10
241,14
242,1
242,2
242,14
243,1
243,14
244,1
245,1
245,14
246,1
246,14
247,10
247,14
247,19
248,10
248,14
249,14
249,19
250,1
250,2
251,2
251,10
252,10
253,1
253,10
253,17
254,1
254,16
255,1
255,16
256,1
256,11
257,4
257,6
257,19
258,1
258,2
258,3
258,6
258,10
258,12
259,1
259,2
259,14
260,1
260,14
260,19
261,14
262,14
263,1
263,2
263,14
264,6
264,10
264,19
265,2
265,12
266,1
266,16
267,1
267,10
267,14
267,19
268,1
268,10
268,14
268,19
269,1
269,14
270,2
270,10
270,14
270,19
271,14
271,17
271,19
272,1
272,10
272,12
272,14
273,1
273,2
273,14
274,1
274,2
274,14
275,1
275,14
276,1
276,2
277,1
277,11
277,14
277,19
278,1
278,14
279,1
279,2
279,11
279,14
279,17
280,2
280,6
280,10
280,17
281,1
281,2
281,14
282,14
282,19
283,19
284,19
285,1
285,10
285,16
286,10
286,17
287,19
288,10
289,1
290,1
290,16
291,1
291,16
292,1
292,16
293,15
293,18
294,1
294,10
294,15
294,18
295,1
295,2
295,10
295,12
295,13
296,18
297,18
298,18
299,14
300,14
301,14
302,10
302,17
302,19
303,14
304,1
304,14
305,1
305,2
305,14
306,6
306,10
306,17
306,19
307,1
307,2
308,1
308,6
308,10
308,11
308,18
309,14
310,14
311,14
311,16
312,1
312,14
313,1
313,14
314,1
314,2
314,14
315,14
315,17
316,14
316,19
317,1
317,14
317,16
318,1
318,16
319,1
319,16
320,1
320,16
321,16
322,16
323,1
323,16
324,1
324,2
324,16
325,1
325,2
325,3
325,16
326,1
326,16
327,1
327,2
327,10
327,13
328,1
328,2
328,14
329,1
329,2
329,14
330,2
330,10
331,11
331,17
331,18
332,1
332,10
333,3
333,15
334,2
334,3
334,6
334,8
335,1
335,11
336,1
336,16
337,1
337,16
337,19
338,3
338,15
339,3
339,15
340,1
340,10
340,19
341,17
341,19
342,2
343,1
343,3
344,15
345,3
345,15
346,19
347,6
347,10
347,17
347,19
348,1
348,2
349,7
350,1
350,2
350,6
350,10
351,1
351,2
351,6
351,10
351,17
352,1
352,16
353,1
353,16
354,1
354,16
355,1
355,10
355,14
356,1
356,2
356,14
357,1
357,2
357,14
358,1
359,1
359,2
359,3
359,10
359,12
360,1
360,6
360,10
360,17
361,1
362,1
363,1
364,6
364,10
364,18
365,2
365,10
366,1
366,14
367,1
367,2
367,14
368,1
368,14
369,14
370,1
370,16
371,1
372,1
373,1
374,1
375,1
376,2
376,6
376,10
376,14
376,17
376,19
377,1
377,2
377,14
378,1
378,10
378,14
379,2
379,13
380,2
380,10
380,12
380,13
381,2
381,6
381,10
382,1
382,2
382,10
383,1
383,10
383,12
384,1
384,10
384,19
385,1
385,10
385,17
386,1
386,10
386,17
387,4
387,5
387,14
387,19
388,1
388,2
388,11
389,1
389,3
389,12
390,1
391,10
391,17
392,1
392,2
392,10
392,14
393,1
393,16
394,1
394,16
395,1
396,1
396,16
397,1
397,13
397,16
398,1
399,1
400,1
400,2
400,16
401,1
401,16
402,1
402,16
403,1
404,16
405,1
405,2
405,16
406,16
407,1
407,2
408,1
408,2
408,10
408,14
409,1
409,10
410,1
410,16
411,1
411,6
411,10
411,18
412,17
412,19
413,1
413,2
414,1
414,2
414,10
415,1
415,2
415,10
416,2
416,10
416,13
417,2
417,10
417,13
417,17
418,1
418,2
418,10
418,11
418,14
419,1
419,10
419,11
419,16
420,1
420,16
420,17
421,1
421,16
422,1
422,16
423,1
423,2
423,16
424,1
424,16
425,1
425,16
426,1
426,16
427,1
427,2
427,16
428,1
428,14
429,1
429,10
429,12
430,16
431,1
431,6
431,10
431,15
431,18
432,1
432,2
432,14
433,1
433,14
434,1
434,3
434,10
434,16
435,1
435,3
435,10
435,16
436,2
436,10
436,17
437,1
437,2
437,14
438,2
438,4
438,10
438,13
439,1
439,10
439,13
440,1
440,16
441,1
441,2
441,10
441,14
442,1
442,2
442,10
442,12
442,13
443,9
444,1
444,3
444,9
445,2
445,10
445,19
446,1
446,10
446,16
447,10
447,14
447,19
448,2
448,19
449,1
449,2
449,12
450,1
450,14
450,19
451,1
451,12
451,18
452,1
452,10
453,2
453,8
453,10
454,1
454,17
454,19
455,1
455,16
456,1
456,16
457,1
457,16
458,1
458,2
459,1
459,2
459,3
459,6
459,12
459,15
460,1
460,16
461,1
461,16
462,1
462,10
462,12
463,10
463,13
463,17
464,1
464,2
464,10
464,16
464,19
465,2
465,10
466,10
466,17
467,2
467,10
467,17
468,1
469,1
470,1
471,14
471,19
472,1
472,2
472,14
473,1
473,14
474,10
474,17
474,19
475,3
475,6
475,10
475,17
475,19
476,1
476,2
476,14
477,17
477,19
478,1
478,2
479,1
479,8
480,1
480,8
481,1
481,2
481,8
482,1
482,2
482,8
482,12
483,1
483,2
483,8
484,1
484,2
485,1
485,2
485,8
486,1
486,2
487,1
487,2
488,1
488,2
488,13
489,2
489,10
490,1
490,16
491,1
491,16
492,2
492,10
492,14
493,2
494,2
495,2
496,1
496,2
496,10
496,12
496,13
497,2
497,6
497,10
497,13
497,17
498,1
498,2
498,12
499,1
499,2
499,12
500,1
500,10
501,10
501,14
501,17
501,19
502,1
502,14
503,1
503,2
503,14
504,11
504,14
505,1
505,10
505,16
505,17
506,1
506,2
506,10
507,1
507,3
507,6
507,9
508,2
508,8
508,10
508,13
509,1
509,2
510,1
510,16
511,1
511,2
512,1
512,2
513,1
513,2
514,1
514,16
515,1
516,1
516,14
517,1
517,2
517,14
518,1
518,2
518,10
518,14
519,2
519,10
520,1
520,10
520,12
521,1
521,11
521,14
522,1
522,2
522,16
523,1
524,1
525,1
525,2
525,14
526,1
526,14
527,1
527,14
528,1
528,14
529,1
529,14
530,1
530,2
530,14
530,16
531,1
531,16
532,1
532,16
533,1
533,16
534,16
535,17
535,19
536,1
537,1
537,16
538,1
538,16
539,1
539,16
540,1
540,16
541,1
541,16
542,1
542,16
543,1
543,16
544,1
544,14
545,1
545,14
546,1
546,3
546,10
546,11
546,17
547,10
547,13
547,17
547,19
548,1
548,2
548,8
549,1
549,10
549,19
550,1
550,10
551,1
552,1
552,2
552,12
553,1
553,6
553,10
553,19
554,1
554,2
554,14
555,1
555,2
555,10
556,1
556,2
556,9
557,3
557,9
558,1
558,9
559,1
559,10
559,14
560,1
560,14
560,19
561,1
561,9
562,1
562,2
562,14
563,2
563,14
563,19
564,1
564,2
564,3
564,10
564,16
565,6
565,14
565,17
566,1
566,9
567,1
567,10
567,19
568,3
568,15
569,3
569,15
570,3
570,15
571,3
571,15
572,3
572,15
573,3
573,15
574,3
574,15
575,2
575,6
575,10
576,1
576,11
576,14
577,2
577,14
578,2
578,12
579,1
579,14
580,2
581,1
581,14
582,1
582,2
582,10
582,11
582,14
582,17
583,1
583,10
584,1
584,2
584,6
584,10
585,2
585,10
585,14
585,17
585,19
586,1
586,2
587,1
587,2
587,10
587,14
588,2
588,6
588,10
588,14
589,1
589,2
589,8
589,10
589,17
590,1
590,12
591,1
591,2
591,10
591,12
592,1
592,16
593,1
593,10
593,19
594,1
594,10
594,19
595,2
595,12
596,2
596,12
597,1
597,2
597,12
598,2
598,10
598,13
598,17
599,2
599,10
599,13
600,1
600,2
600,10
600,12
601,1
601,10
602,1
602,2
602,10
603,3
603,6
603,10
603,17
604,1
604,6
604,10
605,1
605,6
605,14
606,1
606,14
607,14
608,1
608,6
608,11
608,16
609,2
609,10
609,14
610,10
610,17
610,19
611,3
611,6
612,1
612,16
613,1
613,16
614,1
614,10
615,1
615,2
615,10
615,16
616,1
616,16
617,7
617,10
617,13
617,17
618,1
618,10
618,11
618,14
619,14
620,2
620,10
620,14
621,1
621,2
621,10
621,14
622,14
623,2
623,14
624,1
624,10
625,1
625,2
625,3
625,10
625,12
625,13
626,14
627,6
627,10
627,13
628,6
628,10
628,17
628,19
629,17
629,19
630,1
630,11
630,16
631,19
632,3
632,13
632,19
633,19
634,1
634,11
634,16
635,5
635,6
635,18
636,2
636,3
636,10
636,13
637,1
637,13
638,13
638,16
639,1
639,2
639,14
640,13
641,1
641,14
641,16
642,1
642,2
643,1
643,2
644,1
644,2
645,1
645,2
646,10
646,17
646,19
647,15
647,17
647,18
648,10
648,14
649,1
649,2
649,6
649,19
650,1
650,2
651,1
651,12
652,1
652,2
652,12
653,9
653,10
653,14
653,17
653,18
653,19
654,2
654,6
654,13
655,2
655,3
655,10
655,14
655,18
656,1
656,16
657,1
657,16
658,1
658,16
659,1
660,1
660,16
661,6
661,10
661,19
662,1
662,3
662,10
662,15
663,15
663,17
663,18
664,2
665,1
665,16
666,1
666,15
666,16
667,12
668,1
668,3
668,8
668,12
669,1
670,1
670,10
670,11
670,14
671,1
671,2
671,10
671,14
671,17
671,19
672,1
672,10
672,16
672,17
673,1
673,16
674,1
675,1
675,3
675,16
676,1
676,16
677,1
677,16
678,1
679,1
679,2
679,10
679,14
679,17
679,19
680,1
680,2
680,6
680,10
680,12
681,1
681,2
681,14
682,1
682,16
683,1
683,16
684,1
684,2
685,1
685,2
685,16
686,1
687,1
687,2
687,16
688,1
688,16
689,1
689,16
690,1
690,16
691,1
691,2
691,16
692,1
692,2
693,1
693,2
694,1
694,2
695,2
695,10
696,10
696,17
696,19
697,2
697,13
698,1
698,10
699,10
699,17
699,19
700,1
700,11
700,16
701,1
702,1
702,14
703,1
703,14
704,1
704,10
704,12
705,1
705,3
705,16
706,1
706,10
706,11
706,14
706,17
707,10
707,15
707,18
708,1
708,10
708,12
708,14
709,1
709,16
710,1
710,10
710,11
710,14
710,16
711,1
711,2
712,14
712,16
713,14
713,16
714,1
714,2
714,14
714,16
715,1
716,1
716,2
716,9
716,12
716,14
717,1
718,1
718,2
718,10
719,8
719,17
720,1
721,1
721,2
721,16
721,19
722,1
722,2
722,16
723,19
724,1
724,16
725,1
725,2
726,1
726,10
726,16
727,1
727,16
728,1
728,2
729,1
729,2
730,1
730,2
731,1
731,6
731,10
731,16
731,19
732,1
732,10
732,16
732,19
733,1
733,2
733,10
733,14
733,19
734,1
734,10
734,19
735,1
735,2
735,10
735,19
736,2
736,6
736,13
736,19
737,1
737,2
737,11
738,1
738,14
739,1
739,10
739,14
740,1
740,10
741,1
741,10
741,16
742,1
742,10
743,1
743,10
744,1
744,10
744,16
745,1
745,10
745,16
746,1
746,10
746,16
747,1
747,10
747,16
748,10
748,19
749,1
749,16
750,1
750,16
751,1
751,2
751,16
752,1
752,2
753,10
753,14
753,19
754,2
754,10
754,14
754,19
755,2
755,10
755,14
755,19
756,1
756,2
756,3
756,10
757,1
757,2
757,3
757,10
758,1
758,2
759,17
759,19
760,19
761,19
762,17
762,19
763,10
763,19
764,1
764,9
765,5
765,10
765,14
765,19
766,1
766,2
767,1
767,2
768,1
768,2
768,10
768,17
769,2
769,6
769,10
769,13
769,17
770,1
770,2
770,16
771,1
771,2
771,16
772,1
772,16
773,8
773,15
773,18
774,1
774,2
774,12
775,2
775,3
775,12
776,1
776,3
776,8
776,12
777,1
777,2
777,6
777,12
778,2
778,14
779,2
779,14
780,1
780,10
780,17
780,19
781,10
781,13
781,17
781,19
782,1
782,16
783,1
783,6
783,10
783,15
783,18
784,10
784,12
785,2
785,10
785,17
786,1
786,16
787,1
787,2
788,1
788,2
788,16
789,1
789,16
790,1
790,2
791,1
791,16
792,1
792,16
793,1
793,14
794,2
794,14
795,1
795,16
796,1
796,17
797,11
797,14
798,1
798,6
798,10
798,14
799,10
799,14
799,17
800,1
800,14
800,16
800,17
801,1
801,2
801,10
801,13
802,1
802,2
802,10
802,12
802,13
803,1
803,2
803,10
803,12
804,1
804,2
804,10
804,12
804,14
804,19
805,1
805,12
805,15
805,17
806,1
806,17
806,18
807,17
807,19
808,1
808,6
808,10
809,1
809,10
809,12
809,14
810,1
810,2
810,10
810,12
810,13
811,1
811,9
812,1
812,2
812,9
812,10
813,1
813,2
813,3
814,1
814,14
815,1
815,2
816,2
816,10
817,2
817,10
817,14
818,1
818,2
818,16
819,1
819,3
819,6
819,10
820,10
820,12
821,2
821,10
821,14
822,1
822,10
823,10
823,13
824,1
824,7
824,10
824,17
825,17
825,19
826,2
826,13
827,2
827,13
828,1
828,14
828,16
829,1
829,14
829,16
830,1
830,9
830,18
831,1
831,11
831,14
832,6
832,10
832,14
832,17
832,19
833,2
833,10
834,2
835,1
835,14
836,1
836,16
837,1
837,11
837,16
838,1
838,2
838,3
838,6
838,9
838,10
839,1
839,10
840,2
841,1
841,10
841,12
842,1
842,2
842,10
842,14
843,2
844,10
844,14
844,19
845,10
845,14
845,19
846,1
846,10
846,14
847,1
847,14
848,6
848,10
848,13
848,19
849,1
849,16
850,1
850,2
850,14
851,2
851,11
851,15
852,1
852,2
853,1
854,1
854,14
855,14
856,2
856,10
856,14
857,14
858,1
858,11
858,14
859,1
859,14
860,1
860,14
861,1
861,14
862,1
862,2
862,10
862,13
862,14
862,17
862,19
863,10
863,17
863,19
864,1
864,2
864,16
865,1
865,2
865,16
866,1
866,10
866,12
867,1
867,10
867,17
868,1
868,2
868,10
869,1
869,10
869,14
870,1
870,2
872,1
872,2
872,10
872,17
873,1
873,2
873,14
873,16
874,1
874,10
874,14
874,19
875,2
875,8
876,1
876,10
876,14
877,1
877,10
877,14
878,6
878,17
879,6
879,17
879,19
880,2
880,10
881,1
881,14
882,1
882,2
882,10
882,12
882,13
883,2
883,10
883,13
884,2
884,6
884,8
884,10
884,13
885,2
886,2
886,10
887,1
887,2
887,10
888,1
888,2
889,1
889,2
890,14
891,1
891,14
892,1
892,14
893,2
893,10
893,13
894,2
895,1
895,2
896,1
896,17
897,1
897,17
898,1
898,17
899,2
899,10
899,17
900,2
900,10
900,17
900,19
901,2
901,8
901,10
902,1
902,14
903,1
903,14
904,1
904,10
905,1
905,16
906,1
906,2
906,6
906,10
906,14
907,1
907,11
907,16
908,1
908,16
909,1
909,2
910,1
911,1
911,14
911,16
912,1
912,2
912,14
912,16
913,1
914,1
914,2
914,12
914,16
915,1
915,2
915,16
916,1
916,2
917,1
917,2
918,1
918,2
919,1
919,2
919,12
920,1
920,2
921,1
921,14
922,1
922,14
923,19
924,1
924,10
924,16
925,15
926,11
926,15
927,1
927,10
927,14
928,15
929,3
929,6
929,10
929,13
930,1
930,10
930,12
930,13
931,1
931,2
931,10
932,1
932,3
932,10
932,12
933,17
933,19
934,17
934,19
935,14
935,17
935,19
936,1
936,6
936,11
936,14
937,1
937,2
937,10
938,14
938,17
939,14
940,14
941,14
942,1
942,16
943,1
943,2
943,10
943,17
943,19
944,1
944,2
945,10
945,14
946,1
946,2
946,3
946,12
946,13
947,1
947,2
947,12
947,13
948,1
948,16
949,1
949,16
950,1
950,8
950,10
950,13
951,1
951,16
952,2
952,6
952,11
952,17
952,18
953,1
953,2
953,3
953,6
953,10
953,12
953,13
954,1
954,2
954,10
955,2
955,13
956,1
956,14
956,19
957,1
957,6
957,10
957,14
958,1
958,14
959,1
959,2
959,14
960,1
960,2
960,10
960,16
961,1
961,2
961,9
961,14
962,1
962,10
962,17
963,1
963,11
963,16
964,1
964,11
965,1
965,11
965,14
965,16
966,19
967,19
968,19
969,14
969,19
970,14
970,19
971,14
971,19
972,1
972,16
973,1
973,10
974,1
974,10
975,2
975,10
975,14
975,19
976,14
976,19
977,1
977,2
978,1
978,2
979,1
979,2
979,16
980,1
980,2
980,13
981,2
981,10
982,1
982,2
982,10
983,1
983,16
984,1
984,16
985,1
985,16
986,7
986,8
986,10
986,13
986,19
987,1
987,11
987,16
988,19
989,17
989,19
990,1
990,19
991,3
991,15
992,19
993,14
993,19
994,19
995,1
995,14
996,1
996,2
996,9
996,14
997,1
997,2
997,14
998,1
998,2
998,14
999,1
999,2
999,10
999,12